Owner,Name,OwnedComment
DataItemSubTypeEnum,GOOD,Indicates the count of correct parts made.
DataItemSubTypeEnum,INCREMENTAL,The position of a block of program code relative to the occurrence of the last {model:LINE_LABEL} encountered in the control program.
DataItemSubTypeEnum,JOG,"The feedrate specified by a logic or motion program, by a pre-set value, or set by a switch as the feedrate for the {model:Axes}. "
DataItemSubTypeEnum,LATERAL,"An indication of the position of a mechanism that may move in a lateral direction.   The mechanism is represented by a {model:Composition} type component. 
 The position information indicates whether the {model:Composition} element is positioned to the right, to the left, or is in transition.  
 The {term:Valid Data Value} *MUST* be {model:RIGHT}, {model:LEFT}, or {model:TRANSITIONING}."
DataItemSubTypeEnum,LEEB,A scale to measure the elasticity of a surface.
DataItemSubTypeEnum,LENGTH,A reference to a length type tool offset variable.
DataItemSubTypeEnum,LINE,The state of the power source for the {term:Structural Element}.
DataItemSubTypeEnum,LINEAR,The direction of motion of a linear motion.
DataItemSubTypeEnum,LOADED,Subparts of a piece of equipment are under load.
DataItemSubTypeEnum,MACHINE_AXIS_LOCK,"A setting or operator selection that changes the behavior of the controller on a piece of equipment. 
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}. 
 When {model:MACHINE_AXIS_LOCK} is {model:ON}, program execution continues normally, but no equipment motion occurs "
DataItemSubTypeEnum,MAIN,The identity of the primary logic or motion program currently being executed. It is the starting nest level in a call structure and may contain calls to sub programs.
DataItemSubTypeEnum,MAINTENANCE,Action related to maintenance on the piece of equipment.
DataItemSubTypeEnum,MANUAL_UNCLAMP,"An indication of the state of an operator controlled interlock that can inhibit the ability to initiate an unclamp action of an electronically controlled chuck.
 The {term:Valid Data Value} *MUST* be {model:ACTIVE} or {model:INACTIVE}. 
 When {model:MANUAL_UNCLAMP} is {model:ACTIVE}, it is expected that a chuck cannot be unclamped until {model:MANUAL_UNCLAMP} is set to {model:INACTIVE}. "
DataItemSubTypeEnum,MANUFACTURE,The time and date code relating to the production of a material or other physical item.
DataItemSubTypeEnum,MAXIMUM,Maximum value of a data entity or attribute.
DataItemSubTypeEnum,MINIMUM,The minimum value of a data entity or attribute.
DataItemSubTypeEnum,MOHS,A scale to measure the resistance to scratching of a surface.
DataItemSubTypeEnum,MOTION,"An indication of the open or closed state of a mechanism.   The mechanism is represented by a {model:Composition} type component. 
 The operating state indicates whether the state of the {model:Composition} element is open, closed, or unlatched.   
 The {term:Valid Data Value} *MUST* be {model:OPEN}, {model:UNLATCHED}, or {model:CLOSED}."
DataItemSubTypeEnum,NO_SCALE,No weighting factor on the frequency scale
DataItemSubTypeEnum,OPERATING,A piece of equipment are powered or performing any activity.
DataItemSubTypeEnum,OPERATOR,The identifier of the person currently responsible for operating the piece of equipment.
DataItemSubTypeEnum,OPTIONAL_STOP,"A setting or operator selection that changes the behavior of the controller on a piece of equipment. 
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}.
 The program execution is stopped after a specific program block is executed when {model:OPTIONAL_STOP} is {model:ON}.    
 In the case of a G-Code program, a program {model:BLOCK} containing a M01 code designates the command for an {model:OPTIONAL_STOP}. 
 {model:EXECUTION} *MUST* change to {model:OPTIONAL_STOP} after a program block specifying an optional stop is executed and the {model:OPTIONAL_STOP} selection is {model:ON}."
DataItemSubTypeEnum,OVERRIDE,The operators overridden value.
DataItemSubTypeEnum,POWERED,"Primary  power is  applied  to the  piece  of  equipment and,  as  a minimum, the controller or logic portion of the piece of equipment is powered and functioning or components that are required to remain on are powered."
DataItemSubTypeEnum,PRIMARY,"Specific applications *MAY* reference one or more locations on a piece of bar stock as the indication for the {model:END_OF_BAR}. The main or most important location *MUST* be designated as the {model:PRIMARY} indication for the {model:END_OF_BAR}.   
 If no {model:subType} is specified, {model:PRIMARY} *MUST* be the default {model:END_OF_BAR} indication."
DataItemSubTypeEnum,PROBE,The position provided by a measurement probe.
DataItemSubTypeEnum,PROCESS,"The measurement of the time from the beginning of production of a part or product on a piece of equipment until the time that production is complete for that part or product on that piece of equipment.  This includes the time that the piece of equipment is running, producing parts or products, or in the process of producing parts."
DataItemSubTypeEnum,PROGRAMMED,The value of a signal or calculation specified by a logic or motion program or set by a switch.
DataItemSubTypeEnum,RADIAL,A reference to a radial type tool offset variable.
DataItemSubTypeEnum,RAPID,The value of a signal or calculation issued to adjust the feedrate of a component or composition that is operating in a rapid positioning mode.
DataItemSubTypeEnum,REMAINING,Remaining measure of an object or an action.
DataItemSubTypeEnum,ROCKWELL,A scale to measure the resistance to deformation of a surface.
DataItemSubTypeEnum,ROTARY,"The rotational direction of a rotary motion using the right hand rule convention.
 The {term:Valid Data Value} *MUST* be {model:CLOCKWISE} or {model:COUNTER_CLOCKWISE}."
DataItemSubTypeEnum,SCHEDULE,The identity of a control program that is used to specify the order of execution of other programs.
DataItemSubTypeEnum,SET_UP,The identifier of the person currently responsible for preparing a piece of equipment for production or restoring the piece of equipment to a neutral state after production.
DataItemSubTypeEnum,SHORE,A scale to measure the resistance to deformation of a surface.
DataItemSubTypeEnum,SINGLE_BLOCK,"A setting or operator selection that changes the behavior of the controller on a piece of equipment. 
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}.
 Program execution is paused after each {model:BLOCK} of code is executed when {model:SINGLE_BLOCK} is {model:ON}.   
 When {model:SINGLE_BLOCK} is {model:ON}, {model:EXECUTION} *MUST* change to {model:INTERRUPTED} after completion of each {model:BLOCK} of code. "
DataItemSubTypeEnum,STANDARD,The standard or original length of an object.
DataItemSubTypeEnum,START,The time and date associated with the beginning of an activity or event.
DataItemSubTypeEnum,SWITCHED,"An indication of the activation state of a mechanism represented by a {model:Composition} type component.
 The activation state indicates whether the {model:Composition} element is activated or not.
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}."
DataItemSubTypeEnum,TARGET,The desired measure or count for a data item value.
DataItemSubTypeEnum,TARGET_COMPLETION,The projected time and date associated with the end or completion of an activity or event.
DataItemSubTypeEnum,TOOL_CHANGE_STOP,"A setting or operator selection that changes the behavior of the controller on a piece of equipment. 
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}. 
 Program execution is paused when a command is executed requesting a cutting tool to be changed. 
 {model:EXECUTION} *MUST* change to {model:INTERRUPTED} after completion of the command requesting a cutting tool to be changed and {model:TOOL_CHANGE_STOP} is {model:ON}."
DataItemSubTypeEnum,USEABLE,The remaining useable length of an object.
DataItemSubTypeEnum,VERTICAL,"An indication of the position of a mechanism that may move in a vertical direction. The mechanism is represented by a {model:Composition} type component. 
 The position information indicates whether the {model:Composition} element is positioned to the top, to the bottom, or is in transition.  
 The {term:Valid Data Value} *MUST* be {model:UP}, {model:DOWN}, or {model:TRANSITIONING}."
DataItemSubTypeEnum,VICKERS,A scale to measure the resistance to deformation of a surface.
DataItemSubTypeEnum,WORKING,"A piece of equipment performing any activity, the equipment is active and performing a function under load or not."
